press,title,tokenized
한국경제TV,다시 '전기차'..코로나 끝나면 달릴까?,"['다시', '전기차', '코로나']"
경향신문,"전기차, 알고 타면 '기똥차'","['전기차', '알', '똥차']"
동아일보,지금까지 없던 '진짜 전기차'가 몰려온다,"['지금', '진짜', '전기차']"
디지털타임스,벤츠 첫 전기차 '더 뉴 EQC' 실제로 몰아봤더니 ..,"['벤츠', '첫', '전기차', '더', '뉴', '실제']"
한겨레,"전기차 배터리의 질주, 2025년 반도체 뛰어넘는다","['전기차', '배터리', '질주', '반도체']"
KBS,"전기차 충전, 느려서 문제인데 ""느린 게 답""이라고요?","['전기차', '충전', '문제', '게', '답']"
세계일보,2021년 보조금 축소 전망.. '가성비' 중저가 전기차로 시선 돌린다,"['보조금', '축소', '전망', '가성', '비', '중', '저가', '전기차', '시선']"
중앙일보,정의선·구광모도 만났다 '전기차 4자 동맹' 뜨나,"['정의선', '구광모', '전기차', '자', '동맹']"
문화일보,엔진車 갈수록 커지는데.. 전기차는 소형이 대세,"['엔진', '갈수록', '전기차', '소형', '대세']"
SBS,위장 전입에 속수무책..뻥 뚫린 전기차 구매 보조금,"['위장', '전입', '속수무책', '뻥', '전기차', '구매', '보조금']"
오토타임즈,"[하이빔]전기차 혁명, 영역 파괴는 시작됐다","['하이', '빔', '전기차', '혁명', '영역', '파괴', '시작']"
머니투데이,예전의 '아이오닉'은 잊어라..속까지 '진짜' 전기차가 온다,"['예전', '아이오', '닉', '은', '속', '진짜', '전기차']"
중앙일보,"푸조 전기차 e-208, 탈수록 주행가능거리가 늘어난다?","['푸조', '전기차', '주행', '가능', '거리']"
한겨레,EU 환경규제 내년 대폭 강화..전기차 대중화 '액셀' 밟나,"['환경', '규제', '내년', '대폭', '강화', '전기차', '대중화', '액셀']"
오마이뉴스,"'유럽 1등' 르노 전기차 '조에', 한국에서 먹힐까","['유럽', '르노', '전기차', '조', '한국']"
매일경제,"기아차, 전기차·모빌리티 양대축 키운다","['기아차', '전기차', '모빌리티', '축']"
동아사이언스,전기차 플랫폼 연구 '한우물'..지역 수평 협력네트워크 이끈다,"['전기차', '플랫폼', '연구', '한우물', '지역', '수평', '협력', '네트워크']"
머니투데이,'무법천지'된 전기차 주차장..일반차 주차해도 속수무책,"['무법천지', '전기차', '주차장', '일반', '차', '주차', '속수무책']"
오토타임즈,올해 글로벌 출시를 앞둔 전기차 10종,"['올해', '글로벌', '출시', '전기차', '종']"
조선비즈,"'올해 유일 모터쇼' 열린 베이징, 화두는 전기차","['올해', '유일', '모터쇼', '베이징', '화두', '전기차']"
KBS,바이든 2천조 '그린뉴딜'에 K-배터리·전기차 준비됐나?,"['바이든', '그린', '뉴딜', '배터리', '전기차', '준비']"
조선비즈,[시승기] 아우디는 첫 전기차 e-트론을 어떻게 만들었나,"['승기', '아우디', '첫', '전기차', '트론']"
중앙일보,"'전기차 황제' 머스크, 왜 상하이서 재킷 벗어던지고 막춤췄나","['전기차', '황제', '머스크', '왜', '상하이', '재킷', '막춤']"
전자신문,테슬라·벤츠 잡을 제네시스 첫 '전기차 전용 SUV' 내년 6월 양산,"['테슬라', '벤츠', '잡', '제네시스', '첫', '전기차', '전용', '내년', '양산']"
조선비즈,"미국차도 유럽차도, ""전기차는 이르니 하이브리드부터""","['미국', '차도', '유럽', '차도', '전기차', '하이브리드']"
경향신문,코로나19에도 훨훨 나는 전기차,"['코로나', '훨훨', '나', '전기차']"
MBC,'초소형'이 소형보다 비싸다?..이상한 전기차 보조금,"['초소', '이', '소형', '전기차', '보조금']"
중앙일보,'1억' 럭셔리 전기차 승자는?..'완판' 아우디 웃었다,"['럭셔리', '전기차', '승자', '완판', '아우디']"
연합뉴스,"LG전자, 캐나다 마그나와 전기차 파워트레인 합작사 세운다(종합)","['전자', '캐나다', '마', '그나', '전기차', '파워', '트레인', '합작', '사', '종합']"
중앙일보,미래 전기차 주도권 달렸다..SK·LG '피터지게' 싸우는 이유,"['미래', '전기차', '주도', '이유']"
신동아,"쌍용 첫 전기차 'E100', 부활의 '전기충격기' 될까","['쌍용', '첫', '전기차', '부활', '전기충격기']"
연합뉴스,"유럽·중국, 전기차 배터리 공세 확대..'K-배터리'에도 부담","['유럽', '중국', '전기차', '배터리', '공세', '확대', '배터리', '부담']"
동아일보,테슬라의 질주와 한국 전기차의 미래[동아 시론/이상근],"['테슬라', '질주', '한국', '전기차', '미래', '동아', '시론', '이상근']"
조선비즈,탈원전에 충전료 4배 인상.. 전기차가 뒤집어졌다,"['탈', '원전', '충전', '료', '배', '인상', '전기차']"
오토타임즈,"푸조 ""언제까지 주행거리 따질래? 전기차도 예뻐야지""","['푸조', '언제', '주행', '거리', '전기차']"
조선비즈,세계는 '전기차 배터리' 전쟁..韓·中·獨 유럽서 격돌,"['세계', '전기차', '배터리', '전쟁', '유럽', '격돌']"
한겨레,"""전기차 판매 2036년 내연차 앞지른다""..변수는 저유가","['전기차', '판매', '연차', '앞', '변수', '유가']"
세계일보,車산업 인프라 적극 활용 '전기차 메카' 꿈꾼다,"['산업', '인프라', '적극', '활용', '전기차', '메카']"
조선일보,"전기차株, 비트코인처럼 널뛰기","['전기차', '비트코인', '널뛰기']"
프레시안,"코로나19 이후 전기차 시장 성장, 왜?","['코로나', '이후', '전기차', '시장', '성장', '왜']"
연합뉴스,전기차는 늘어나는데..충전 인프라 확충은 '느릿',"['전기차', '충전', '인프라', '확충', '느릿']"
오토타임즈,"국내 전기차 판매 톱5, 1위는 '코나 일렉트릭'","['국내', '전기차', '판매', '톱', '위', '코', '렉', '트릭']"
IT동아,양산차 제조사의 전기차는 일반 자동차보다 성능이 낮을까?,"['산차', '제조', '사의', '전기차', '일반', '자동차', '성능']"
한겨레,"""유럽 기준 -100km""..한국 오면 짧아지는 '전기차 주행거리'의 비밀","['유럽', '기준', '한국', '전기차', '주행', '거리', '의', '비밀']"
중앙일보,"전기차 트럭, 테슬라도 팔 걷었지만 ""완충 2시간"" 차주들 허탈","['전기차', '트럭', '테슬라', '팔', '완충', '차주', '허탈']"
연합뉴스,"""미래 생존 희망은 전기차""..중국서 '합종연횡' 치열","['미래', '생존', '희망', '전기차', '중국', '합종연횡', '치열']"
KBS,"잘 나가는 전기차, 몇 명이 만들어요?..친환경차 시대 일자리는?","['전기차', '몇', '명', '친환', '경차', '시대', '일자리']"
