Title,Analysis
"잇따르는 전기차 화재, 왜 발생할까?","키워드: 전기차/화재/발생  
결과: 부정"
"고성능은 기본…전기차, 이제 사이즈로 승부한다","키워드: 고성능/전기차/사이즈  
결과: 긍정"
"""가장 전기차다운…"" 연비-주행 모든 것 담았다","키워드: 전기차, 연비, 주행 / 결과: 긍정"
"싼타페 너마저..전기차 시대, 베트남 중국 인도가 몰려온다","키워드: 싼타페/전기차 시대/베트남/중국/인도  
결과: 부정"
"[시승]엔트리 고급 전기차의 가치, 아우디 Q4 e-트론 40","키워드/결과  
시승/긍정  
엔트리 고급 전기차의 가치/긍정  
아우디 Q4 e-트론 40/긍정  "
"""중국산 전기차 몰려온다""…美 자동차 시장 경고",키워드: 중국산 전기차/결과: 부정
"""日도요타, 테슬라 추격 위해 전기차 사업 '리부팅' 검토""","키워드: 도요타/테슬라/추격/전기차/사업/리부팅  
결과: 부정"
'리스' 전기차로 숨통 텄지만…북미조립·핵심광물 규정 '난관',"키워드: 리스/전기차/북미조립/핵심광물/규정/난관  
결과: 부정"
"""전기차, 미국 자동차시장 주류로…저비용 힘입어 보급 확산""","키워드: 전기차/미국 자동차시장/저비용/보급 확산  
결과: 긍정"
한국산 전기차 차별 막을 수 있을까?,키워드: 한국산 전기차 차별 / 결과: 부정
"도요타, 일본 공장에 전기차 전용 생산라인 설치 검토","키워드 / 결과  
도요타, 전기차, 생산라인 / 긍정"
[시승기] 안정적 주행감 강점..폭스바겐 전기차 ID.4,"키워드 / 결과  
시승기 / 긍정  
안정적 주행감 / 긍정  
강점 / 긍정  
폭스바겐 / 중립  
전기차 / 중립  
ID.4 / 중립  "
"[신차드라이브]폭스바겐 ID.4 ""잘 만든 전기차 교과서""",키워드: 폭스바겐 ID.4/결과: 긍정
[단독] 뒤차 놀래키는 전기차 ‘브레이크등’…국토부 이제야 바꾼다,"키워드/결과  
전기차 브레이크등 국토부/부정"
"'전기차, 전기차 그리 외치더니'.. 유럽서 부는 회의론","키워드: 전기차/회의론  
결과: 부정"
국산과 수입 전기차 보조금 차이 '최소 250만원' 더 벌어질듯,"키워드: 국산/수입 전기차/보조금/차이/최소 250만원  
결과: 부정"
"진화에만 2시간…소방당국, 전기차 화재 대응에 골머리","키워드: 전기차/화재/소방당국/골머리  
결과: 부정"
"<문희수의 시론>전기차 보급, 속도조절 필요하다",키워드: 전기차 보급/결과: 부정
"내수시장 벗어나는 중국차, ‘전기차’ 앞세워 세계 데뷔 성공할까","키워드 / 결과  
내수시장, 중국차, 전기차, 세계 데뷔 / 중립"
한국산 전기차도 '리스 차량'은 美인플레법 보조금 받는다(종합),"키워드: 한국산 전기차/리스 차량/美인플레법/보조금  
결과: 긍정"
"[하이빔]전기차 시대, 판매사도 바짝 긴장?","키워드: 전기차/판매사/긴장  
결과: 부정  "
“전기차 배터리 40% 남으면 조급… 생활권내 충전소 미리 확인을”,"키워드: 전기차/배터리/조급/충전소  
결과: 부정"
[ET] 전기차 30만 대 시대..현황과 보완점은?,"키워드/ 결과  
전기차 30만 대 시대 / 긍정  
현황 / 중립  
보완점 / 부정  "
<오후여담>뒤죽박죽 전기차 보조금,"키워드: 전기차/보조금  
결과: 부정"
'북미조립' 언급없는 美 IRA 일정표…한국 전기차 차별해소 난망,"키워드: 북미조립/美 IRA 일정표/한국 전기차 차별해소  
결과: 부정"
불 붙으면 '열폭주'… 전기차 탈출 묘수는?[살아남기],"키워드: 불 붙음/열폭주/전기차 탈출  
결과: 부정"
BMW i7 살펴본 이재용…전기차 협력 강화 약속,"키워드: BMW i7/이재용/전기차 협력 강화  
결과: 긍정"
"日정부, 전기차 대상 주행거리별 세금 부과 검토","키워드: 日정부/전기차/주행거리/세금 부과  
결과: 부정"
"""AS망 갖춰야 보조금"" 韓전기차 맞불",키워드: AS망/결과: 부정
"정부, IRA 상업용 전기차 요건 완화 제안 방침…돌파구 주목(종합)","키워드: 정부/IRA/상업용 전기차/요건/완화/제안/방침/돌파구/주목  
결과: 긍정"
[하이빔]차별로 변질되는 전기차 보조금,키워드: 전기차 보조금 / 결과: 부정
3고 뚫은 경차의 부활…내년엔 전기차 모델 가세,"키워드: 3고, 경차, 부활, 전기차 / 결과: 긍정"
전기차로 '탄소중립·일자리 보호' 두 마리 토끼 잡는 獨,"키워드: 전기차/탄소중립/일자리 보호/독일  
결과: 긍정"
[카&테크]미래 전기차 핵심 '열 관리' 기술,키워드: 미래 전기차 / 결과: 긍정
"""유럽 전기차 고속충전비 휘발유값보다 비싸""","키워드 / 결과  
유럽 전기차 고속충전비 휘발유값 / 부정"
"韓美 '한국산 전기차 보조금 제외' 협의 착수..美 ""긴밀 연락""",키워드: 한국산 전기차 보조금 제외 / 결과: 부정
개인 소유 전기차 충전기 공유 서비스 허용..수익창출 가능,"키워드 / 결과  
개인 소유 전기차 충전기 공유 서비스 / 긍정  
허용 / 긍정  
수익창출 / 긍정"
"[하이빔]전기차, 배터리 가격의 진짜 고민","키워드: 전기차/배터리 가격/고민  
결과: 부정"
[시승기] 가속페달 하나로 주행 가능… 볼보 전기차 ‘C40 리차지’,"키워드/결과  
가속페달, 주행, 볼보, 전기차, C40 리차지/긍정"
"""1.8억 값어치 하네""..'신기술 중무장' 벤츠 전기차 EQS [신차털기]",키워드: 신기술 중무장 / 결과: 긍정
