Press,Title,Analysis
연합뉴스,"'내년 첫 전기차 출시' 中샤오미 ""테슬라 따라잡을 준비됐다""","이 제목의 키워드는 '전기차 출시', '샤오미', '테슬라 따라잡을 준비'입니다. 

감성 분석 결과: 긍정 

이유: 제목은 내년 전기차 출시와 샤오미의 자신감 있는 태도를 강조하고 있으며, 경쟁에 대한 긍정적인 의지를 나타내고 있습니다."
YTN,"'자국 우선주의' 허들 만난 '전기차', 묘수는?","이 제목은 '자국 우선주의'와 '허들', '묘수'라는 키워드를 포함하고 있습니다. '자국 우선주의'는 약간의 부정적 뉘앙스를 지니고 있으며, '허들'(장애물) 또한 문제를 나타내는 표현입니다. '묘수'는 해결책이나 긍정적인 접근을 암시하지만 전체적인 맥락에서 부정적인 상황에 대한 질문을 담고 있습니다. 

따라서 이 제목은 **부정적인 감성을 지닌** 것으로 분석됩니다."
연합뉴스,"애플 따라하던 中 샤오미, 전기차는 먼저 치고나가","분석 결과: 긍정

이 제목은 샤오미가 전기차 분야에서 선두주자로 나섰다는 긍정적인 의미를 내포하고 있습니다. ""먼저 치고나가""라는 표현은 경쟁에서 긍정적인 성과를 의미하므로 전체적으로 긍정적인 감정을 담고 있습니다."
연합뉴스,"美 전기차 전환, 정부 지원에도 수요 감소로 기대보다 느려","제목의 키워드를 분석한 결과, ""전기차 전환"", ""정부 지원"", ""수요 감소"", ""기대보다 느려""와 같은 표현이 포함되어 있습니다. 전체적으로 부정적인 요소가 강하게 드러나고 있어, 수요 감소와 기대보다 느린 진행 상황이 부각되고 있습니다. 

따라서, 이 제목의 감성 분석 결과는 **부정**입니다."
매일경제,주춤한 전기차 … 내년 보급형 몰려온다,"제목에서의 키워드는 ""주춤한 전기차""와 ""내년 보급형 몰려온다""입니다. ""주춤한""이라는 표현은 부정적인 뉘앙스를 가지고 있으며, 전기차의 성장이나 판매가 둔화되고 있다는 인상을 줍니다. 그러나 ""내년 보급형 몰려온다""는 긍정적인 측면을 나타내며, 향후 전기차의 보급이 늘어날 것으로 기대하게 만듭니다.

종합적으로 볼 때, 전체 감정은 주춤함과 기대가 혼재되어 있으나 부정적인 느낌이 더 강하게 들므로 이 제목의 감성 분석 결과는 **부정**으로 표시할 수 있습니다."
전자신문,내년 '보급형 전기차' 몰려온다,"분석 결과: 긍정

""보급형 전기차""라는 키워드는 대중적인 접근성과 경제성을 나타내어 긍정적인 뉘앙스를 가지고 있습니다."
쿠키뉴스,높아지는 외국인 이용률에…전기차·충전기 영어 안내문 나온다,"이 제목은 외국인 이용률 증가와 관련된 전기차 및 충전기 안내문 제공에 대한 내용을 담고 있습니다. 키워드로는 ""높아지는"", ""이용률"", ""전기차"", ""충전기"", ""영어 안내문""이 있습니다. 

분석 결과: 긍정적 (높아지는 이용률은 긍정적인 상황을 나타내며, 영어 안내문 제공은 외국인 이용자에게 도움이 되는 조치입니다.)"
조선비즈,하이브리드에 치이는 전기차… 내년엔 보조금도 감소,"분석 결과: 부정  
키워드 분석: ""하이브리드"", ""치인다"", ""보조금 감소""는 부정적인 뉘앙스를 나타냅니다. 전기차가 하이브리드에 밀리고 보조금이 줄어드는 상황은 부정적인 sentiment을 나타냅니다."
매일경제,"'전기차 출격' 샤오미 ""포르쉐·테슬라보다 낫다""","분석 결과: 긍정

이 제목은 샤오미가 전기차 시장에 진입하며 강한 자신감을 나타내고 있으며, 포르쉐와 테슬라와의 비교를 통해 경쟁력을 강조하고 있습니다. 긍정적인 어조가 느껴집니다."
머니투데이,보조금·할인 늘려도…전기차 시장 '후진',"제목의 키워드는 ""보조금"", ""할인"", ""전기차 시장"", ""후진""입니다. 

분석 결과: 부정"
