press,headline
아이뉴스24,"스텔란티스코리아, 소형 전기차 대전에 참전…판매량 회복할까"
JIBS,전기차 지원 확대.. 제주 보급률 최초 10% 넘나
파이낸셜뉴스,유럽 공략 나서는 소형 전기차… EV3·캐스퍼 일렉트릭 연내 진출
노컷뉴스,광주그린카진흥원 방문해 '캐스퍼 전기차' 만나 보세요
전자신문,"[ET톡] 전기차 캐즘, 돌파구는 있다"
전자신문,"대주전자재료, 파나소닉에 실리콘 음극재 공급…테슬라 전기차 탑재 임박"
주간동아,저가형 전기차로 ‘캐즘’ 돌파한다… EV3·캐스퍼 일렉트릭 흥행몰이
한국경제,전기차 부진 직격탄…양극재社 '버티기' 돌입
지디넷코리아,"인류 재앙 산불 막자…美 남부 도시, 경찰차 모두 전기차로 바꿔"
데일리안,"후방산업까지 드리운 전기차 캐즘 ‘먹구름’…에코프로, 적자전환(종합)"
매일경제,"""식량위기 해소 위해 달린다"" 현대차, WFP에 전기차 지원"
조선비즈,"지프 자리 꿰찬 BYD… 中 전기차, 韓시장 공략 시동"
지디넷코리아,"에코프로, 2분기도 실적 하락세…전기차 캐즘 여파"
세계일보,서울에 ‘초고속·로봇’ 전기차 충전 인프라 확대
머니투데이,미국 '중국 전기차 100% 관세' 2주 이상 연기…후보 교체 시기에
한국경제TV,"""전기차 수요 둔화·경쟁 심화…목표가↓"""
디지털타임스,"현대차그룹 전기차, 전 세계서 `엄지척`…비결은 `E-GMP`"
세계일보,"포스코퓨처엠, 푸른꿈 환경캠프 개최, '친환경 전기차 내 손으로 뚝딱'"
동아일보,"‘전기차 직격탄’ 삼성SDI, ESS 호황 덕에 실적은 ‘선방’"
연합뉴스,"하이투자증권 ""전기차 수요 둔화세 뚜렷…삼성SDI 목표가↓"""
연합뉴스TV,"미, 전기차 등 대중관세 인상 2주 이상 순연"
중앙일보,"“주차만 해놔요”…불편한 전기차 충전, 이제 로봇이 척척"
데일리안,"[컨콜] 에코프로비엠 ""저가 전기차도 가격경쟁력 부족으로 흥행 부진…금리 인하로 수요 반등 기대"""
지디넷코리아,"""충전소 많고 선택지 충분""…BMW, 전기차 '캐즘'에도 성장했다"
디지털타임스,[기고] 전기차 화재예방 보조금의 문제점
데일리안,"[컨콜] 에코프로비엠 ""전기차 성장 둔화에 양극재 캐파 하향 및 속도조절 검토 중"""
머니투데이,"삼성SDI, 전기차 수요 둔화로 실적 악화…3분기 부진 지속 전망-IBK"
중앙일보,"""전기차 충전소에도 나타난 로봇""…무거운 케이블 로봇이 척척"
비즈워치,"삼성SDI, '전기차 한파' 직격탄…""투자 계획 수정 없다"""
데일리안,"[컨콜] 에코프로비엠 ""전기차 시장, 하반기에도 성장 둔화 추세 지속 전망"""
MBC,"중국, EU 6월 전기차 시장점유율 역대 최대‥""관세 앞서 밀어내기"""
한국경제,소형 전기차 최대 1400만원 인하…가격 경쟁 나선 푸조
조선비즈,"전기차 캐즘 잊은 HL만도, 수익성 개선 속도"
경향신문,"전기차 ‘캐즘’ 장기화에…속 썩는 배터리, 매출·이익 ‘뚝’"
스포츠동아,"부산시설공단, 전기차 충전소 특별 안전 점검 착수"
뉴시스,설비투자지수 개편…반도체 가중치 늘리고 전기차 추가
데일리안,"KOMSA, 경남 통영항에서 여객선 내 전기차 화재 예방 훈련"
한국경제,"암참 ""TV 광고 규제 완화하고, 전기차 보조금 정책 바꿔야"""
전자신문,"현대차·기아, 프랑스 판매 10대 중 6대는 '전기·하이브리드車'"
한국경제,"""로봇이 코드 꽂아주네""…서울시, 기업과 손잡고 전기차 충전기 늘린다"
뉴시스,"BMW코리아, 전기차 캐즘에도 판매량 증가…비결은?"
뉴시스,"해양교통안전공단, 여객선 전기차 화재대응 민·관 합동훈련"
노컷뉴스,"LG전자 ""교통 약자 위한 전기차 로봇 충전 솔루션 설치"""
국민일보,"美 컨슈머리포트, 최고 전기차 BMW iX…대중차 1위 아이오닉6"
