press,headline
한국경제,전기차 공포 확산…벤츠 이어 EV6도 주차 중 '활활'
중앙일보,인천 전기차 화재 닷새만에 또…이번엔 EV6 충전 중 활활 탔다
디지털타임스,"인천 전기차화재 특별재난지역 선포 요청했지만…행안부 ""어렵다"""
MBC,"""배터리 열폭주 시작, 대원들!"" 또 주차장서 '전기차 화재'"
연합뉴스,인천 전기차 화재 당시 스프링클러 작동 안해…피해 커져
연합뉴스,'전기차 화재' 아파트 이재민 820명…텐트·기숙사 생활
YTN,"[이슈ON] 주차타워에서 또 전기차 불...""지상 가라"" 주민 난색"
대전일보,"충남 금산 전기차 화재 기아 EV6, 제조사 보내 조사 예정"
YTN,이번엔 충남에서 전기차 화재...'과충전'이 원인?
머니투데이,"'전기차 비상문' 지이디, 전기차·내연차 시장 동시 공략 나서"
동아일보,"‘전기차 화재’ 관련 법안, 국회에 발 묶여… 정부·지자체 뒤늦게 규제 마련중"
머니투데이,건물 10m 이상 떨어져야…현실성 떨어진 '전기차 화재안전' 매뉴얼
머니투데이,"지상 주차장도 없는데 ""나가주세요""…'입주민' 전기차주가 거절한다면?"
조선일보,"정부, 인천 서구 ‘지하 주차장 전기차 화재’에 2000만원 긴급 지원"
뉴시스,"한전 인천본부, 청라 전기차 화재 아파트 복구 지원"
뉴시스,"행안부, '전기차 화재' 인천 서구에 재난 구호비 2천만원 지원"
연합뉴스,[영상] '화재' 벤츠 전기차에 중국 '파라시스' 배터리…3만대 리콜 전력
키즈맘,"인천 전기차 화재 원인은? ""지하에 59시간..."""
한겨레,"전기차 화재, 주민 갈등으로 옮겨 붙나…지하주차 막자 다툼까지"
매일경제,"졸지에 죄인 된 전기차 주인들, 일제히 주목…배터리 열폭주 해결책 찾았다는데"
세계일보,주차 중 ‘활활’…잇따른 전기차 화재에 공포 확산
아이뉴스24,"청주서부소방서, 전기차 화재 예방수칙 당부"
시사저널,"‘59시간 후 폭발’ 전기차 화재 의문 풀릴까…경찰, 차주 참고인 조사"
매일경제,"전기차 또 불났다…이번엔 기아 EV6, 충남서 충전중 화재"
머니투데이,"이테스, 전기차 충전인프라 특별관서 이동형 EV 충전 솔루션 선봬"
세계일보,‘인천 벤츠 전기차 화재’ 5일 만에 또…금산서도 충전 중 ‘펑’ 공포 확산
파이낸셜뉴스,'전기차 화재' 특별재난지역 지정 놓고 논란
경향신문,인천 전기차 화재 ‘아파트 이재민’ 822명으로 늘어…“이달말쯤 전체 입주 가능”
동아일보,"‘전기차 화재’ 주민 피난 생활, 최소 1주일 더 이어질 듯"
디지털타임스,"경찰, 인천 전기차 화재 원인 규명 집중…차주 참고인 조사"
파이낸셜뉴스,"""전기차 지하주차장에 대려면 각서 쓰래요"" [어떻게 생각하세요]"
SBS,인천 이어 또 전기차 '활활'…주차 타워에서 충전 중 화재
데일리안,"인천 이어 금산서도 전기차 불 '활활'…""배터리 문제 추정"""
뉴시스,"[그래픽] 현대차·기아, 미국 전기차 시장 판매량"
연합뉴스,"'전기차 화재' 주민들, 피해 막대하지만 보상은 막막"
뉴시스,전기차 포비아에 떠오른 지하주차 금지 기류…법적 문제 없나
조선일보,충남 금산서 ‘충전 중’ 전기차 화재… 견인차로 주차장서 옮겨 불껐다
매일경제,택배화물용 전기차 사면 서울시 최대 100만원 지원
한국경제TV,날벼락 맞은 '전기차 화재' 아파트…보상 난망
데일리안,"""죄인이냐"" vs ""주차금지""…전기차 공포 확산한다"
MBN,"주차된 전기차서 또 불…경찰 ""배터리 문제로 추정"""
대전일보,"'벤츠 전기차' 폭발사고…배터리, 화재 위험에 中서 리콜된 기업"
뉴시스,"진성준, 인천 전기차 화재에 ""주차장 안전기준 규정 마련할 것"""
한겨레,충남서도 전기차 화재…경찰 “배터리 있는 하부 쪽 탔다”
SBS,"[정치쇼] 권용주 ""전기차 화재 미스터리…벤츠 VS 파라시스 싸움될 것"""
연합뉴스,"[게시판] 희망브리지, 인천 '전기차 화재' 이재민에 구호물품"
MBN,"청라 화재로 전기차 포비아 확산 ""지하주차장 출입 금지"""
YTN,주차타워 전기차에 불...견인차로 끌어내 진화
