Title,Analysis,keywords,result
다시 '전기차'..코로나 끝나면 달릴까?,"제목: 다시 '전기차'..코로나 끝나면 달릴까?  
키워드: 전기차, 코로나, 달릴까  
결과: 중립적  

해설: 제목은 전기차에 대한 기대감과 코로나19의 영향에 대한 의문을 내포하고 있으며, 긍정적이거나 부정적인 감정을 직접적으로 나타내지 않습니다.","제목: 다시 '전기차'..코로나 끝나면 달릴까?  
",": 전기차, 코로나, 달릴까  
결과: 중립적  

해설: 제목은 전기차에 대한 기대감과 코로나19의 영향에 대한 의문을 내포하고 있으며, 긍정적이거나 부정적인 감정을 직접적으로 나타내지 않습니다."
"전기차, 알고 타면 '기똥차'","제목: 전기차, 알고 타면 '기똥차'  
키워드: 전기차, 기똥차, 알고 타면  
결과: 긍정  

해설: '기똥차'라는 표현은 '황홀한' 또는 '놀라운'이라는 뜻으로 해석되어, 전기차에 대한 긍정적인 인식을 나타냅니다.","제목: 전기차, 알고 타면 '기똥차'  
",": 전기차, 기똥차, 알고 타면  
결과: 긍정  

해설: '기똥차'라는 표현은 '황홀한' 또는 '놀라운'이라는 뜻으로 해석되어, 전기차에 대한 긍정적인 인식을 나타냅니다."
지금까지 없던 '진짜 전기차'가 몰려온다,"제목: 지금까지 없던 '진짜 전기차'가 몰려온다  
키워드: 진짜 전기차, 몰려온다  
결과: 긍정  

(설명: ""지금까지 없던""과 ""진짜 전기차""라는 표현이 기대감과 혁신성을 나타내어 긍정적인 의미로 해석됩니다.)","제목: 지금까지 없던 '진짜 전기차'가 몰려온다  
",": 진짜 전기차, 몰려온다  
결과: 긍정  

(설명: ""지금까지 없던""과 ""진짜 전기차""라는 표현이 기대감과 혁신성을 나타내어 긍정적인 의미로 해석됩니다.)"
벤츠 첫 전기차 '더 뉴 EQC' 실제로 몰아봤더니 ..,"제목: 벤츠 첫 전기차 '더 뉴 EQC' 실제로 몰아봤더니 ..  
키워드: 벤츠, 전기차, EQC, 몰아봤더니  
결과: 긍정","제목: 벤츠 첫 전기차 '더 뉴 EQC' 실제로 몰아봤더니 ..  
",": 벤츠, 전기차, EQC, 몰아봤더니  
결과: 긍정"
"전기차 배터리의 질주, 2025년 반도체 뛰어넘는다","제목: 전기차 배터리의 질주, 2025년 반도체 뛰어넘는다  
키워드: 전기차, 배터리, 질주, 반도체, 2025년  
결과: 긍정  ","제목: 전기차 배터리의 질주, 2025년 반도체 뛰어넘는다  
",": 전기차, 배터리, 질주, 반도체, 2025년  
결과: 긍정  "
"전기차 충전, 느려서 문제인데 ""느린 게 답""이라고요?","제목: 전기차 충전, 느려서 문제인데 ""느린 게 답""이라고요?  
키워드: 전기차, 충전, 느림, 문제  
결과: 부정","제목: 전기차 충전, 느려서 문제인데 ""느린 게 답""이라고요?  
",": 전기차, 충전, 느림, 문제  
결과: 부정"
2021년 보조금 축소 전망.. '가성비' 중저가 전기차로 시선 돌린다,"제목: 2021년 보조금 축소 전망.. '가성비' 중저가 전기차로 시선 돌린다  
키워드: 보조금, 가성비, 중저가, 전기차  
결과: 부정  ","제목: 2021년 보조금 축소 전망.. '가성비' 중저가 전기차로 시선 돌린다  
",": 보조금, 가성비, 중저가, 전기차  
결과: 부정  "
정의선·구광모도 만났다 '전기차 4자 동맹' 뜨나,"- 제목: 정의선·구광모도 만났다 '전기차 4자 동맹' 뜨나
- 키워드: 정의선, 구광모, 전기차, 동맹
- 결과: 긍정","- 제목: 정의선·구광모도 만났다 '전기차 4자 동맹' 뜨나
- ",": 정의선, 구광모, 전기차, 동맹
- 결과: 긍정"
엔진車 갈수록 커지는데.. 전기차는 소형이 대세,"- 제목: 엔진車 갈수록 커지는데.. 전기차는 소형이 대세
- 키워드: 엔진차, 커지다, 전기차, 소형, 대세
- 결과: 중립적 (부정적 또는 긍정적 감정이 뚜렷하지 않음)","- 제목: 엔진車 갈수록 커지는데.. 전기차는 소형이 대세
- ",": 엔진차, 커지다, 전기차, 소형, 대세
- 결과: 중립적 (부정적 또는 긍정적 감정이 뚜렷하지 않음)"
위장 전입에 속수무책..뻥 뚫린 전기차 구매 보조금,"제목: 위장 전입에 속수무책..뻥 뚫린 전기차 구매 보조금  
키워드: 위장 전입, 속수무책, 뻥 뚫린, 전기차, 구매 보조금  
결과: 부정  ","제목: 위장 전입에 속수무책..뻥 뚫린 전기차 구매 보조금  
",": 위장 전입, 속수무책, 뻥 뚫린, 전기차, 구매 보조금  
결과: 부정  "
